decade,total_faces,pages_total,pages_with_faces,pct_pages_with_faces
1790,3,20,3,15.0
1800,10,36,9,25.0
1810,2,26,2,7.69
1820,1,32,1,3.12
1830,2,36,2,5.56
1840,0,24,0,0.0
1850,2,24,2,8.33
1860,1,24,1,4.17
1870,1,24,1,4.17
1880,1,24,1,4.17
1890,1,26,1,3.85
1900,4,28,4,14.29
1910,4,30,4,13.33
1920,8,28,6,21.43
1930,8,28,6,21.43
1940,10,38,8,21.05
1950,8,48,8,16.67
1960,25,90,19,21.11
1970,14,78,11,14.1
1980,60,136,44,32.35
1990,115,208,74,35.58
