decade,total_faces,pages_total,pages_with_faces,pct_pages_with_faces
1880,1,34,1,2.94
1890,17,52,12,23.08
1900,25,68,17,25.0
1910,27,52,17,32.69
1920,46,64,29,45.31
1930,31,54,19,35.19
1940,24,56,16,28.57
1950,105,94,47,50.0
1960,175,144,60,41.67
1970,202,200,82,41.0
1980,343,210,106,50.48
1990,210,202,96,47.52
2000,657,216,153,70.83
2010,699,188,146,77.66
